[--] ----------------------------------------------
[--] CANreal Save Frames Header (created)
[--] ----------------------------------------------
[F1] Source:                  	C:\Users\Sergiu\Desktop\aaa.csplog
[F2] Split file series:       	aaa.csplog
[F3] File serial number:      	n/a
[F4] Id-Description file:     	<none>
[F5] Header type:             	0
[F6] Header length:           	2093
[F7] File date:               	24.05.2023
[F8] File time:               	15:41:40
[S1] Hardware:                	1000
[S2] Driver:                  	2700
[S3] Firmware:                	1100
[S5] dll:                     	5006
[S6] Board:                   	CAN_USB2
[S7] status:                  	00000000
[S8] OS:                      	Windows 8/10  (6,2,9200,2,[])
[SE] Application:             	CANreal
[S9] App version:             	8.71
[SA] Features:                	0972 (2b Ts Lo St)
[SB] HW Time stamps:          	resolution 1.000 MHz <> 1000.000 nsec (OK)
[SC] Controller:              	LPC
[SD] Board serial:            	HN007737
[C1] Net number:              	0
[C2] Bitrate:                 	500.0
[C3] 29-bit-Ids:              	1 - enabled
[T0] Start trigger:           	none
[T1] End   trigger:           	none
[C4] Id-Area:                 	0000-2047 ($000-$7FF)
[--] ----------------------------------------------
[--] Frame_Number	Trigger	Absolute_Time	Msec	Relative_Time	Desc	CAN_Id_dec	CAN_Id_hex	Attributes	Length	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
[--]     Num	Trig	     Abs	Msec	            Rel	Desc	     IdDec	     IdHex	Attr	Len	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
         174	    	15:41:28	818.038	         29.922		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         175	    	15:41:28	848.016	         29.978		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         176	    	15:41:28	878.053	         30.037		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         177	    	15:41:28	908.053	         30.000		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         178	    	15:41:28	938.038	         29.985		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         179	    	15:41:28	968.096	         30.058		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         180	    	15:41:28	998.034	         29.938		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         181	    	15:41:29	028.121	         30.087		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         182	    	15:41:29	058.059	         29.938		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         183	    	15:41:29	088.028	         29.969		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         184	    	15:41:29	118.114	         30.086		       399	       18F	      	  4	50	02	90	36	  	  	  	  	P_ê6    	
         185	    	15:41:29	148.042	         29.928		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         186	    	15:41:29	178.135	         30.093		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         187	    	15:41:29	208.053	         29.918		       399	       18F	      	  4	50	02	C0	36	  	  	  	  	P_¿6    	
         188	    	15:41:29	238.032	         29.979		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         189	    	15:41:29	268.114	         30.082		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         190	    	15:41:29	299.128	         31.014		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         191	    	15:41:29	329.051	         29.923		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         192	    	15:41:29	359.129	         30.078		       399	       18F	      	  4	50	02	C0	36	  	  	  	  	P_¿6    	
         193	    	15:41:29	389.095	         29.966		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         194	    	15:41:29	419.048	         29.953		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         195	    	15:41:29	449.115	         30.067		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
